"lizard_id","date","time","x","y","utm_east","utm_north","notes","temp","humid","wind","cloud","time_20_beeps"
"CB25","2021-04-17","11:20",-115.405915192828,36.1646479014618,643379,4003383,"B130 0643379 4003383",17.5,22.2,2.7,"clear",44.57
"CB31","2021-04-15","15:57",-115.419822715588,36.162332031328,642136,4003111,"J109 0642136 4003111
Overwinter shelter. Couldn’t find entrance.",18.4,19.5,1.3,"partly cloudy",29.66
"CB3","2021-04-15","17:26",-115.430070885746,36.1596864755401,641212,4002806,"B028 0641212 4002806",19.9,17.1,0.3,"clear",37.9
"CB31","2021-04-16","14:05",-115.419822715588,36.162332031328,642136,4003111,"J109 0642136 4003111
Overwinter shelter. Couldn’t find entrance.",19.2,21,0.6,"partly cloudy",29.6
"CB3","2021-04-16","15:30",-115.430070885746,36.1596864755401,641212,4002806,"B028 0641212 4002806",21,19.3,0.6,"partly cloudy",39.46
"CB15","2021-04-17","12:12",-115.414850696537,36.1600016221321,642588,4002860,"J110 0642588 4002860",17.9,19.6,1.5,"partly cloudy",34.61
"CB3","2021-04-17","12:56",-115.430070885746,36.1596864755401,641212,4002806,"B028 0641212 4002806",17.7,18.9,1.9,"partly cloudy",39.7
"CB15","2021-04-20","11:53",-115.414850696537,36.1600016221321,642588,4002860,"J110 0642588 4002860",24.2,17.7,0.9,"clear",38.69
"CB13","2021-04-20","12:19",-115.421534125243,36.1605005509648,641979,4002905,"B048
0641979
4002905",23.7,17.3,1.4,"clear",37.94
"CB31","2021-04-21","16:34",-115.419822715588,36.162332031328,642136,4003111,"J109 0642136 4003111
Overwinter shelter. Couldn’t find entrance.",19.9,19.4,1.6,"partly cloudy",29.6
"CB13","2021-04-21","17:10",-115.421534125243,36.1605005509648,641979,4002905,"B048
0641979
4002905",21.8,19.8,0.9,"clear",37.99
"CB13","2021-04-29","11:22",-115.421587710562,36.160484506657,641975.261641835,4002902.840379,"B048",26.5,16.3,3.9,"clear",39.98
"CB13","2021-05-02","09:05",-115.421550696747,36.1604995387456,641978.564111014,4002904.56203265,"Fresh prints observed at apron of shelter",25.8,11.9,0.7,"clear",35.32
"CB3","2021-05-02","09:31",-115.42592708743,36.1586128757003,641588.278970039,4002688.88160218,"",32.5,7.8,0.5,"clear",41.02
"CB15","2021-05-02","10:09",-115.414816715074,36.1600505857066,642585.1336429,4002864.62971587,"",26,13,1.2,"clear",36.78
"CB3","2021-04-29","09:15",-115.425991054697,36.1586194691471,641585,4002684,"Utm
0641585
4002684",24.4,15.1,NA,"clear",43.16
"CB15","2021-05-03","10:26",-115.417257479723,36.1572937393824,642374,4002556,"Utm
0642374
4002556
In. Construction lot next to 1220
Bad spot",21.9,13.2,NA,"clear",31.89
"CB3","2021-05-03","12:32",-115.42422977994,36.1596775988023,641742,4002807,"Utm
0641742
4002807
Resting under bush",27.8,13.3,NA,"clear",33.18
"CB15","2021-05-03","13:22",-115.415685872472,36.1593534950297,642509,4002785,"Utm
0642509
4002785
Back lower Kraft",29.5,13.2,NA,"clear",33.89
"CB15","2021-05-05","10:47",-115.414779107325,36.16000228529,642585,4002862,"Utm
0642585
4002862",29.8,14.1,NA,"clear",36.67
"CB13","2021-05-07","09:33",-115.422690758,36.1606543386401,641876,4002918,"Utm
0641876
4002918",25.5,15,NA,"clear",32.59
"CB3","2021-05-07","10:28",-115.429083089574,36.158968816039,641296,4002728,"Utm
0641296
4002728
",33.1,135,NA,"clear",38.37
"CB3","2021-05-05","09:33",-115.428495767977,36.1589798419972,641368,4002672,"Utm
0641368
4002672",26.3,15.4,NA,"clear",38.37
"CB13","2021-05-03","12:06",-115.42156806821,36.1604874617587,641967,4002907,"Utm
0641967
4002907",23.6,15.5,NA,"clear",36.67
"CB3","2021-05-08","07:28",-115.429126092654,36.1590538826226,641296,4002728,"Utm
0641296
4002728
Same shelter",22,17,NA,"clear",39.2
"CB13","2021-05-08","08:11",-115.427964154977,36.1594363663705,641403,4002776,"Utm
0641403
4002776
Surface active
Extremely windy

",22.5,16.4,NA,"clear",34.02
"CB13","2021-05-08","08:39",-115.428464267578,36.1590609570617,641359,4002737,"Utm
0641359
4002737
Surface active",24.1,16.1,NA,"clear",34.01
"CB31","2021-05-08","09:39",-115.419813254956,36.1624572007322,642136,4003113,"Shelter J109
0642136, 4003113
No visual",23.6,17.6,1.4,"clear",29.6
"CB25","2021-05-08","11:58",-115.404205648336,36.1621643370354,643548,4003121,"Visual confirmation 
Shallow shelter under rock/acacia bush
0643548, 4003121
P1 close, p2 wide angle ",30.2,12.9,1.3,"clear",40.2
"CB15","2021-05-08","12:43",-115.414014486703,36.1596835032442,642660,4002830,"Visual confirmation 
Shallow shelter
Broad entrance from 162 to 90 degrees, average 126. Most likely comes in from far right or left due to larger opening than center
P1 left side of entrance, p2 right side, p3 wide angle
0642660, 4002830",30.5,12.9,0.8,"clear",36.19
"CB3","2021-05-08","14:00",-115.429210038963,36.1589308502489,641299,4002729,"No visual 
0641299, 4002729
",28.5,12.7,0.7,"clear",37.91
"CB13","2021-05-08","14:39",-115.430408064383,36.1588723445648,641190,4002699,"No visual
0641190, 4002699",33.5,11.3,1.1,"clear",36.42
"CB15","2021-04-09","13:08",0,0,642588,4002860,"",28.4,11.8,0.3,"cloudy",39.02
"CB15","2021-04-18","12:18",0,0,642588,4002860,"",25.7,9.8,1.5,"clear",39.53
"CB15","2021-04-21","17:14",0,0,642588,4002860,"",22.1,16.7,1.1,"partly cloudy",38.57
"CB15","2021-04-27","10:55",0,0,642588,4002860,"",18.6,31.8,0.9,"cloudy",40.09
"CB15","2021-04-29","12:36",0,0,642588,4002860,"",30,12.9,1.6,"clear",40.8
"CB15","2021-05-01","16:36",0,0,642588,4002860,"",31.2,11.1,1.3,"partly cloudy",36.59
"CB15","2021-05-04","11:26",0,0,642588,4002860,"",26.1,17.2,1.1,"clear",37.5
"CB15","2021-05-11","18:08",0,0,642588,4002860,"",26.9,18.4,0.5,"clear",37.75
"CB15","2021-05-13","18:10",0,0,642588,4002860,"",31.1,12.2,0.4,"clear",36.2
"CB15","2021-05-14","09:48",0,0,642588,4002860,"",29.5,19.6,0.5,"clear",35.41
"CB15","2021-05-10","18:06",0,0,642599,4002871,"",28.4,20.6,0.8,"clear",35.94
"CB15","2021-04-25","11:49",0,0,642588,4002860,"",23.3,14.9,1.4,"partly cloudy",38.55
"CB15","2021-04-23","11:05",0,0,642607,4002797,"",24.2,21,1.4,"clear",36.53
"CB15","2021-04-11","13:05",0,0,642508,4002782,"",30.4,11.2,0.6,"partly cloudy",38.73
"CB15","2021-04-15","17:13",0,0,642541,4002844,"",22.6,19.2,1,"partly cloudy",36.03
"CB25","2021-04-15","16:01",0,0,643379,4003383,"",20.7,16.1,0.7,"partly cloudy",43.98
"CB25","2021-04-16","13:55",0,0,643379,4003383,"",20.5,18.4,1.5,"partly cloudy",44.22
"CB25","2021-04-18","12:50",0,0,643379,4003383,"",22.5,10.5,1.1,"clear",42.37
"CB25","2021-04-21","16:36",0,0,643683,4003322,"",21,15,0.9,"cloudy",44.61
"CB25","2021-04-20","10:47",-115.404400691769,36.1624421242048,643515,4003143,"Weight: 310g
Head width: 44mm
Included pictures of surgery scar, armpit scar, and toes with overlapping claw. Very skinny.
0643515 4003143",21.8,18.4,1.5,"clear",37.01
"CB3","2021-04-22","11:37",-115.428485924186,36.1589924955403,641360,4002727,"J024 0641360 4002727",24.6,26.4,0.6,"partly cloudy",40.98
"CB31","2021-05-07","09:17",-115.419765453739,36.1623355402075,642135.840481258,4003110.84327818,"Shelter J109",23.4,21.4,1.1,"clear",29.6
"CB25","2021-05-07","10:25",-115.402552656193,36.1640036506848,643681.140529615,4003321.23044,"Signal was loudest from upper right hole. ",28,13.4,3.3,"clear",39.4
"CB15","2021-05-07","11:18",-115.414795525234,36.1600081696251,642587.116621475,4002859.9555999,"~1m upslope from previous burrow (with Bob Hansen & Conner)",29.5,15.1,1.9,"clear",36.4
"CB25","2021-04-22","09:48",-115.402596419715,36.1640309298187,643683,4003323,"B087 0643683 4003323",20.1,26.7,1.1,"clear",41.4
"CB3","2021-04-21","17:33",-115.428485924186,36.1589924955403,641360,4002727,"J024 0641360 4002727",20.3,18.6,0.9,"partly cloudy",38.59
"CB15","2021-04-22","10:40",-115.414850696537,36.1600016221321,642588,4002860,"J110 0642588 4002860",23.4,24.2,0.9,"clear",38.6
"CB31","2021-04-23","09:53",-115.419822715588,36.162332031328,642136,4003111,"J109 0642136 4003111
Overwinter shelter. Couldn’t find entrance.",20.1,19.4,1.4,"clear",29.48
"CB25","2021-04-24","13:12",-115.402524955956,36.1640206864754,643683,4003323,"B087 0643683 4003323",26.6,16.8,2.8,"clear",41.35
"CB3","2021-04-23","11:35",-115.428485924186,36.1589924955403,641360,4002727,"J024 0641360 4002727",25.5,17.9,1.8,"clear",40.93
"CB15","2021-04-24","13:49",-115.414850696537,36.1600016221321,642588,4002860,"J110 0642588 4002860",26.6,15.7,2.2,"clear",38
"CB3","2021-04-27","11:00",-115.425918540538,36.1586668740813,641591,4002689,"B133 0641591 4002689
Suspected entrance, not positive.",12.8,34.4,1.7,"cloudy",43.8
"CB3","2021-04-24","14:15",-115.428485924184,36.1589924955397,641360,4002727,"J024 0641360 4002727",28.5,16.5,0.8,"clear",38.69
"CB25","2021-04-25","11:57",-115.402524955956,36.1640206864754,643683,4003323,"B087 0643683 4003323",23.5,16.8,1.5,"cloudy",41.26
"CB31","2021-04-27","10:10",-115.419822715588,36.162332031328,642136,4003111,"J109 0642136 4003111
Overwinter shelter. Couldn’t find entrance.",12.2,40,0.9,"cloudy",29.58
"CB25","2021-04-28","14:20",-115.402524955956,36.1640206864754,643683,4003323,"B087 0643683 4003323",24.6,16.6,1.4,"clear",44.77
"CB15","2021-04-28","15:00",-115.414850696537,36.1600016221321,642588,4002860,"J110 0642588 4002860",24.3,15.6,2.4,"clear",40.39
"CB3","2021-04-28","15:35",-115.425918540538,36.1586668740813,641591,4002689,"B133 0641591 4002689
Suspected entrance, not positive.",23.6,14.4,1.5,"clear",44.61
"CB31","2021-04-29","12:05",-115.419822715588,36.162332031328,642136,4003111,"J109 0642136 4003111
Overwinter shelter. Couldn’t find entrance.",25.7,18.5,0.7,"clear",29.61
"CB25","2021-04-30","10:17",-115.402524955956,36.1640206864754,643683,4003323,"B087 0643683 4003323",31.1,15.4,0.5,"clear",42.6
"CB15","2021-04-30","10:56",-115.414850696537,36.1600016221321,642588,4002860,"J110 0642588 4002860",31.8,15.5,0.5,"clear",38.43
"CB3","2021-04-30","11:30",-115.425918540538,36.1586668740813,641591,4002689,"B133 0641591 4002689
Suspected entrance, not positive.",30.3,16.4,1.3,"clear",42.02
"CB31","2021-05-01","15:47",-115.419822715588,36.162332031328,642136,4003111,"J109 0642136 4003111
Overwinter shelter. Couldn’t find entrance.",28.8,15.5,2.2,"partly cloudy",29.56
"CB3","2021-05-01","17:22",-115.425918540538,36.1586668740813,641591,4002689,"B133 0641591 4002689
Suspected entrance, not positive.",29.1,12.9,1.1,"clear",39.1
"CB25","2021-05-02","14:23",-115.402524955956,36.1640206864754,643683,4003323,"B087 0643683 4003323",28.8,15.1,1.1,"partly cloudy",40.35
"CB31","2021-05-03","09:19",-115.419822715588,36.162332031328,642136,4003111,"J109 0642136 4003111
Overwinter shelter. Couldn’t find entrance.",17.8,25.2,0.9,"clear",29.56
"CB31","2021-05-04","09:57",-115.419822715588,36.162332031328,642136,4003111,"J109 0642136 4003111
Overwinter shelter. Couldn’t find entrance.
Remote observation.",26.4,15.1,1,"clear",29.54
"CB13","2021-05-04","10:14",-115.421534125243,36.1605005509648,641979,4002905,"B048
0641979
4002905",24.7,16.3,1.5,"clear",36.05
"CB3","2021-05-04","10:58",-115.428485924186,36.1589924955403,641360,4002727,"J024 0641360 4002727",24.1,17.8,1.3,"clear",39.57
"CB15","2021-05-17","08:38",-115.41472636174,36.1599708348849,642590,4002859,"0642590E/4002859N Ryn device ",23.3,32,0,"partly cloudy",36.3
"CB25","2021-05-17","10:07",-115.40018434647,36.1648400919849,643894,4003416,"0643894E/4003416N Ryn device. Visual encounter occurred during movement to the East of burrow. May have sensed me coming near and taken shelter. Traveling downhill/E/SE. ",23,30.1,2.7,"partly cloudy",34.28
"CB31","2021-05-17","11:20",-115.419660033766,36.1591316806489,642136,4003111,"Remote detection from base of mountain: sound toward J109 shelter at 0642136E 4003111N",29.1,39.2,0,"partly cloudy",29.65
"CB13","2021-05-17","07:50",-115.42654367036,36.1566248449994,641538,4002470,"Utm
0641538
4002470",22.2,41.1,NA,"clear",36.46
"CB3","2021-05-17","08:21",-115.429097783904,36.1590365513141,641302,4002733,"Utm
0641302
4002733
From 5 m east",24,40.4,NA,"clear",42.69
"CB13","2021-05-09","07:56",-115.432138795919,36.1596373796792,641031,4002795,"Utm
0641031
4002795",21,12.6,NA,"clear",39.69
"CB15","2021-05-20","08:46",-115.417456441443,36.1604580575064,642344,4002910,"UTM
0642344
4002910",25,18.4,NA,"clear",35.23
"CB13","2021-05-20","09:34",-115.415278037377,36.1601573752879,642543,4002880,"UTM
0642543
4002880",25.6,22.3,NA,"clear",35.23
"CB25","2021-05-23","14:17",-115.402972167465,36.1617938569152,643649,4003076,"0643649, 4003076
No visual
Under bush, multiple possible entrances around roots",27.6,12.3,0.7,"clear",44.64
"CB13","2021-05-23","15:15",-115.415259450782,36.160175730508,642544,4002878,"0642544, 4002878
Visual confirmation in shelter ",28.8,13,2,"clear",41.61
"CB15","2021-05-23","16:06",-115.417346041757,36.1605628067964,642348,4002913,"0642348, 4002913
No visual confirmation
Shelter entrance not obvious (not sure where exactly it is)",23.4,13,1.6,"clear",38.91
"CB3","2021-05-23","11:57",-115.425885786564,36.1585786602208,641589,4002689,"UTM
0641589
4002689",22.3,17.3,NA,"clear",41.42
"CB3","2021-05-26","08:16",-115.424958335093,36.1589812793937,641666,4002729," UTM
0641666
4002729",23.9,16.8,NA,"cloudy",37.9
"CB25","2021-05-26","09:15",0,0,643512,4003394,"",25.4,25,0.1,"cloudy",39.26
"CB13","2021-05-26","09:58",0,0,642542,4002880,"",26.6,15.2,1.1,"cloudy",38.19
"CB25","2021-05-27","09:23",0,0,643512,4003394,"",38.2,9.9,0.5,"clear",38.3
"CB13","2021-05-28","18:45",0,0,642547,4002865,"",29.7,20.2,0.7,"clear",31.83
"CB31","2021-05-28","18:59",0,0,642136,4003111,"",29.7,20.2,0.7,"clear",29.6
"CB25","2021-05-29","11:42",0,0,643530,4003367,"",30.4,12.1,0.6,"cloudy",39.43
"CB25","2021-05-30","08:58",0,0,643509,4003367,"",29.1,14.7,0.7,"clear",39.14
"CB31","2021-05-30","09:42",0,0,642136,4003111,"Remote Obs",31.2,13.2,1.7,"clear",29.59
"CB13","2021-06-03","05:48",-115.424693025318,36.1566630744535,641704,4002474,"Utm 
0641704
4002474
Septic Tank",26.6,20.4,NA,"partly cloudy",35.97
"CB3","2021-06-03","06:26",-115.429539168959,36.1582671702698,641256,4002658,"Utm
0641256
4002658
",25.8,23.2,NA,"partly cloudy",36.84
"CB25","2021-05-31","13:00",0,0,643515,4003362,"Food supliment left",37.1,8.8,0.4,"partly cloudy",38.97
"CB31","2021-05-31","13:50",0,0,642136,4003111,"Remote Obs",42.5,13.9,1.8,"partly cloudy",29.33
"CB31","2021-06-02","08:02",0,0,642136,4003111,"Remote Obs",29.2,13.7,0.8,"partly cloudy",29.37
"CB25","2021-06-03","07:21",0,0,643595,4003417,"
0643595 4003417",26.7,19.4,0,"partly cloudy",39.74
"CB25","2021-06-04","07:04",-115.4034676,36.1649089,643595,4003417,"0643595 4003417",26.5,20.5,0,"partly cloudy",38.74
"CB3","2021-06-06","06:35",-115.429562376154,36.1582777246903,641261,4002662,"Utm 
0641261
4002662",27.8,25.9,NA,"clear",36.97
"CB13","2021-06-06","07:02",-115.427132279134,36.1587859512145,641478,4002710,"Utm
0641478
4002710",28,19.8,NA,"clear",35.85
"CB25","2021-06-06","18:50",-115.4034676,36.1649089,643595,4003417,"0643595 4003417",31.4,14,2,"clear",38.01
"CB25","2021-06-07","13:07",-115.4034676,36.1649089,643595,4003417,"0643595 4003417",37.8,7.1,1.4,"partly cloudy",37.21
"CB31","2021-06-06","19:50",0,0,642136,4003111,"Remote Obs",37.8,7.1,0.4,"clear",31.07
"CB25","2021-06-08","10:45",-115.4006311,36.1647117,643857,4003402,"0643857 4003402",30.6,10.1,3.7,"clear",38.21
"CB31","2021-06-07","15:00",0,0,642136,4003111,"Remote Obs",38.2,6.8,0.6,"partly cloudy",29.49
"CB25","2021-06-09","10:35",-115.4002693,36.16484,643883,4003415,"0643883 4003415",27.4,14,6.3,"partly cloudy",40.99
"CB15","2021-06-04","08:10",-115.4172844,36.1609687,642365,4002963,"0642365 4002963",35.3,13.3,0.1,"partly cloudy",35.27
"CB25","2021-06-02","10:00",0,0,643509,4003367,"",34.4,16.2,0.4,"partly cloudy",38.27
"CB3","2021-06-11","07:03",-115.427197474123,36.1602185059031,641467,4002866,"Utm
0641467
4002866
",21.2,7.8,NA,"clear",36.32
"CB13","2021-06-11","07:31",0,0,641368,4002710,"Utm
0641368
4002710",24.5,9.2,NA,"clear",35.79
"CB9","2021-06-12","05:37",-115.425422989513,36.1611087944753,641624,4002960,"Utm 
0641624
4002960
Move towards Kraft",22.4,12,NA,"clear",29
"CB3","2021-06-12","06:08",-115.425878169943,36.1586300087217,641584,4002684,"Utm 
0641584
4002684",22.2,11.8,NA,"clear",37.6
"CB13","2021-06-12","06:39",-115.428255099369,36.1588683392977,641371,4002710,"Utm 
0641371
4002710
",22.2,13.9,NA,"clear",35.66
"CB24","2021-06-12","07:54",-115.421572399014,36.1613519467827,641977,4003000,"Utm 
0641977 4003000",27.3,11.6,NA,"clear",29.44
"CB25","2021-06-11","07:15",-115.4002693,36.16484,643883,4003415,"0643883 4003415",21.5,7.3,1.3,"clear",40.71
"CB25","2021-06-13","19:44",-115.4002693,36.16484,643883,4003415,"0643883 4003415",32.4,8.8,4.7,"clear",40.36
"CB25","2021-06-14","09:22",-115.4002693,36.16484,643883,4003415,"0643883 4003415",36.6,11.5,1.1,"clear",40.32
"CB31","2021-06-14","11:00",0,0,642136,4003111,"Remote Obs",35.8,15.5,1.2,"clear",29.4
"CB25","2021-06-15","06:51",-115.4002693,36.16484,643883,4003415,"0643883 4003415",31.3,11.3,0,"clear",40.45
"CB25","2021-06-16","06:28",-115.4002693,36.16484,643883,4003415,"0643883 4003415",34,13,0.3,"partly cloudy",40.1
"CB25","2021-06-17","06:15",-115.4005357,36.1648975,643858,4003432,"0643858 4003432",30.2,13.9,0,"partly cloudy",41.44
"CB3","2021-06-13","07:18",-115.425946321119,36.158622156726,641581,4002692,"Utm 
0641581
4002692",29.9,11.8,NA,"clear",37.6
"CB9","2021-06-13","06:37",-115.425939360276,36.1612254424142,641582,4002970,"Utm 
0641582
4002970",24.7,12.6,NA,"clear",NA
"CB13","2021-06-13","07:04",-115.428310790591,36.1588096383706,641371,4002711,"Utm 
0641371
4002711
",27.9,20.6,NA,"clear",35.44
"CB25","2021-06-18","06:45",-115.4005357,36.1648975,643858,4003432,"0643858 4003432",32.2,16.5,1.8,"partly cloudy",40.63
"CB31","2021-06-18","08:25",0,0,642136,4003111,"Remote Obs",36.2,24.6,0.4,"partly cloudy",29.36
"CB31","2021-06-15","08:19",0,0,642136,4003111,"Remote Obs",34.8,13.7,0.5,"clear",29.34
"CB25","2021-06-19","06:31",-115.4005357,36.1648975,643858,4003432,"0643858 4003432",33.7,21.6,0.2,"partly cloudy",42.4
"CB13","2021-05-10","19:18",-115.431920928466,36.1599774613779,641053,4002831,"J111 0641053 4002831",23.4,19.9,0,"clear",36
"CB3","2021-05-11","17:14",-115.429156155515,36.1590164446173,641293,4002725,"J065 0641293 4002725",26.2,16,0.5,"clear",37.78
"CB31","2021-05-05","11:24",-115.419822715588,36.162332031328,642136,4003111,"J109 0642136 4003111
Overwinter shelter. Couldn’t find entrance.
Remote observation.",28.9,15.9,0.9,"clear",29.47
"CB13","2021-05-05","11:48",-115.421534125243,36.1605005509648,641979,4002905,"B048
0641979
4002905",28.6,14.5,1.3,"clear",35.87
"CB25","2021-05-05","12:26",-115.402524955956,36.1640206864754,643683,4003323,"B087 0643683 4003323",31.7,13.9,1.1,"clear",40.2
"CB3","2021-05-13","17:14",-115.428928638524,36.1586601580796,641322,4002697,"J112 0641322 4002697",32,14,0.9,"clear",37.82
"CB3","2021-05-10","18:05",-115.429156155515,36.1590164446173,641293,4002725,"J065 0641293 4002725",26.6,22.3,0,"clear",37.13
"CB13","2021-05-11","17:42",-115.431920928466,36.1599774613779,641053,4002831,"J111 0641053 4002831",25.7,15.2,0.3,"clear",36.18
"CB31","2021-05-11","18:14",-115.419822715588,36.162332031328,642136,4003111,"J109 0642136 4003111
Overwinter shelter. Couldn’t find entrance.
Remote observation.",26.2,15,1,"clear",29.58
"CB13","2021-05-13","17:50",-115.431920928466,36.1599774613779,641053,4002831,"J111 0641053 4002831",30.3,11.7,0.9,"clear",33.49
"CB31","2021-05-13","18:25",-115.419822715588,36.162332031328,642136,4003111,"J109 0642136 4003111
Overwinter shelter. Couldn’t find entrance.
Remote observation.",30.2,11.6,0.8,"clear",29.46
"CB3","2021-05-14","08:33",-115.428928638524,36.1586601580796,641322,4002697,"J112 0641322 4002697",31.7,20,0,"clear",37.33
"CB3","2021-05-15","13:25",-115.428333462455,36.1586303825456,641368,4002687,"0641368 4002687
Head width: 45mm
Weight: 390g",29,16,0.6,"clear",34.48
"CB13","2021-05-15","14:10",-115.430323453963,36.158769359249,641194,4002691,"B056 0641194 4002691",30.2,14.3,0.8,"clear",35.95
